date,wasser_haus,praxis_blau,praxis_rot,strom_haus,strom_praxis,gas
2022-1,439.971,23.69,20.158,71496.1,54242.2,15921.655
2022-2,448.326,23.731,20.199,71784.6,54519.9,16296.733
2022-3,458.187,23.792,20.264,72087.7,54819.5,16603.31
2022-4,469.132,23.854,20.315,72368.3,55074.4,16857.337
2022-5,479.249,23.949,20.355,72600.9,55342.8,16905.1
2022-6,486.742,24.027,20.413,72833.5,55611.2,16919.3
2022-7,495.773,24.108,20.424,73083.4,55841,16928.841
2022-8,504.524,24.23,20.45,73354.9,56077.9,16942.461
2022-9,512.071,24.301,20.517,73578.6,56270.2,17006.901
2022-10,522.011,24.414,20.644,73866.6,56511.1,17116.308
2022-11,530.313,0.078,0.059,74157.9,56718.4,17378
2022-12,539.78,0.134,0.147,74472.1,56935.5,17785.295
